comp,minradii,maxrad,f,f-,f+,Lx,Lx-,Lx+,Ly,Ly-,Ly+,Lz,Lz-,Lz+,alpha,alpha-,alpha+,sigmax,sigmax-,sigmax+,sigmay,sigmay-,sigmay+,sigmaz,sigmaz-,sigmaz+,
disc,0.0,1.0,0.1653,-0.0246,+0.0247,3.7,-10.0,+9.6,1.2,-9.2,+9.0,-104.5,-6.5,+7.0,53.8,-27.6,+43.7,118.0,-8.4,+10.1,115.6,-8.0,+10.5,33.8,-3.9,+4.5,
bar,0.0,1.0,0.5945,-0.0267,+0.0264,0.9,-3.0,+2.9,-0.8,-2.1,+2.1,-14.3,-3.2,+3.3,42.7,-2.8,+2.7,76.8,-2.5,+2.6,49.2,-2.3,+2.3,38.8,-2.6,+2.6,
knot,0.0,1.0,0.2396,-0.0195,+0.0186,0.9,-1.7,+1.0,1.6,-1.6,+1.4,-0.2,-0.8,+0.9,17.6,-6.6,+7.3,20.7,-1.7,+1.8,10.9,-0.7,+1.3,10.1,-0.1,+0.2,
disc,0.5,1.5,0.2201,-0.0242,+0.0224,-2.4,-7.2,+7.5,3.6,-7.0,+7.4,-135.0,-6.5,+6.4,42.8,-40.0,+36.0,129.4,-7.1,+8.3,129.1,-7.6,+9.1,59.9,-4.1,+4.5,
bar,0.5,1.5,0.5638,-0.0223,+0.0237,1.0,-2.6,+2.6,1.7,-2.0,+2.0,-26.0,-3.6,+3.8,33.6,-3.0,+3.1,75.0,-2.5,+2.3,49.7,-2.3,+2.4,47.3,-2.5,+2.7,
knot,0.5,1.5,0.2157,-0.016,+0.0154,1.0,-1.6,+1.1,1.3,-1.2,+1.1,-0.7,-0.8,+1.0,20.2,-5.3,+5.7,22.4,-1.8,+2.0,10.6,-0.5,+0.9,10.1,-0.1,+0.2,
disc,1.0,2.0,0.2947,-0.0297,+0.0292,-9.4,-6.5,+6.4,0.6,-6.2,+6.8,-193.0,-9.1,+9.1,35.7,-12.5,+11.6,148.2,-5.6,+5.9,132.7,-5.0,+5.8,84.0,-5.1,+5.1,
bar,1.0,2.0,0.5124,-0.0263,+0.0255,-2.7,-2.9,+2.9,3.1,-2.3,+2.4,-51.9,-5.2,+5.1,35.6,-4.1,+4.3,80.6,-3.2,+3.3,59.3,-3.4,+3.4,55.0,-3.3,+3.4,
knot,1.0,2.0,0.192,-0.0154,+0.0148,0.1,-1.1,+0.6,-0.2,-0.5,+0.9,-0.1,-0.5,+0.7,28.1,-4.2,+4.4,25.8,-2.2,+2.3,10.9,-0.7,+1.3,10.5,-0.4,+0.8,
disc,1.5,2.5,0.4384,-0.0279,+0.0281,-11.2,-5.4,+5.2,-3.0,-5.1,+5.3,-261.8,-7.8,+8.0,43.7,-7.5,+7.6,154.3,-4.1,+4.6,135.1,-3.8,+4.1,127.0,-4.9,+4.7,
bar,1.5,2.5,0.4248,-0.0264,+0.0269,-5.7,-3.8,+3.7,4.9,-3.0,+2.9,-87.2,-6.2,+6.0,47.3,-4.1,+3.9,90.2,-3.4,+3.4,63.3,-3.5,+3.5,65.6,-4.1,+4.5,
knot,1.5,2.5,0.1372,-0.0109,+0.0104,-0.3,-0.8,+1.6,-0.9,-0.9,+1.4,-0.1,-0.7,+1.1,25.1,-3.9,+4.1,25.0,-2.1,+2.1,10.4,-0.3,+0.6,12.1,-1.1,+1.3,
disc,2.0,3.0,0.6627,-0.0144,+0.0154,-11.0,-2.8,+2.9,2.3,-1.5,+1.2,-366.0,-3.1,+3.5,69.9,-2.1,+2.2,172.4,-1.8,+2.0,143.5,-1.5,+1.5,165.4,-2.4,+2.2,
-,2.0,3.0,0.0007,-0.0005,+0.0004,99.4,-64.4,+149.0,-36.1,-168.2,+110.8,-121.4,-109.1,+48.9,47.1,-21.1,+22.0,15.0,-3.2,+7.0,15.0,-2.9,+6.7,14.5,-2.9,+6.2,
bar,2.0,3.0,0.3366,-0.0154,+0.0144,-4.5,-3.7,+2.2,2.6,-1.8,+1.5,-123.2,-4.6,+5.5,63.5,-2.0,+1.9,93.0,-2.2,+2.9,56.1,-1.9,+2.3,101.2,-4.1,+4.4,
disc,2.5,3.5,0.5188,-0.0163,+0.0164,-12.2,-2.2,+2.0,3.8,-2.0,+1.8,-519.3,-3.9,+4.5,77.0,-5.9,+5.7,185.7,-2.2,+2.2,176.2,-2.0,+2.1,148.7,-2.4,+2.4,
-,2.5,3.5,0.0022,-0.0007,+0.0006,-215.7,-33.9,+30.5,-279.0,-15.8,+18.0,284.6,-10.8,+13.4,79.7,-3.7,+5.2,214.4,-31.2,+38.0,53.2,-8.1,+13.8,13.3,-2.0,+6.1,
bar,2.5,3.5,0.4791,-0.0164,+0.0164,4.1,-2.1,+2.8,-2.3,-2.7,+2.6,-312.9,-5.6,+5.7,71.6,-1.1,+1.1,151.5,-2.1,+2.3,85.5,-1.5,+1.8,184.7,-3.0,+2.8,
disc,3.0,4.0,0.6619,-0.0231,+0.0226,-23.2,-3.5,+3.2,3.0,-2.9,+2.1,-621.4,-5.1,+4.8,70.1,-6.7,+5.9,184.1,-2.5,+2.6,172.8,-2.7,+2.7,166.8,-3.2,+3.0,
bar,3.0,4.0,0.3337,-0.0228,+0.0228,5.5,-3.8,+4.2,0.9,-3.2,+3.4,-422.3,-9.8,+9.7,72.2,-1.2,+1.3,170.7,-4.1,+4.2,78.3,-3.0,+3.2,197.1,-4.6,+5.0,
-,3.0,4.0,0.0042,-0.0009,+0.0008,-62.0,-53.1,+50.0,-73.2,-43.8,+50.3,309.0,-8.2,+7.9,54.4,-18.8,+23.6,241.9,-30.7,+38.8,274.5,-34.4,+45.7,12.8,-2.0,+4.3,
-,3.5,4.5,0.0038,-0.0008,+0.0008,-96.7,-61.1,+67.2,494.8,-29.6,+29.0,311.3,-9.1,+8.9,68.0,-13.8,+14.4,223.6,-33.6,+47.4,570.6,-77.4,+108.2,12.9,-2.0,+4.6,
-,3.5,4.5,0.0007,-0.0004,+0.0003,-66.0,-99.8,+369.8,568.1,-20.6,+193.9,21.8,-18.7,+21.1,73.6,-9.2,+36.1,63.1,-30.9,+37.5,13.6,-2.6,+6.1,13.9,-2.8,+7.3,
disc,3.5,4.5,0.9955,-0.0008,+0.0009,-14.0,-2.4,+2.3,-1.2,-0.8,+1.2,-553.8,-2.9,+2.9,69.7,-1.8,+1.9,181.3,-1.8,+1.7,148.6,-1.3,+1.4,205.2,-2.3,+2.3,
